"Y1","X1","X2","X3","X4","X5","X6","X7","X8"
15.9,1,"С",39,20,8.2,0,1,"Н"
27,3,"К",68.4,40.5,10.7,0,1,"Н"
21.1,2,"С",54.7,28,10.7,0,1,"Н"
24.5,4,"С",90,64,15,0,0,"В"
13.5,1,"К",34.8,16,10.7,0,0,"Н"
22.5,2,"К",48,29,8,1,1,"В"
15.5,3,"С",68.1,44.4,7.2,0,0,"В"
75.9,4,"П",132,89.6,11,1,1,"Н"
15.1,1,"К",39,20,8.5,0,1,"Н"
26,2,"К",55.5,35,8,0,1,"В"
38,3,"П",107,58,24,0,0,"В"
27.3,4,"К",102,66,11.8,0,1,"В"
28.7,3,"К",74.7,46.3,10.7,0,1,"Н"
20,1,"М",37,21.5,6.5,0,0,"В"
28,2,"М",53,31.1,10,1,1,"Н"
27.2,3,"С",71.7,45.9,10.7,0,0,"Н"
41,4,"М",87,56.5,12.5,0,1,"В"
28.3,3,"К",74.5,47.5,10.4,0,0,"Н"
22,1,"П",40,17.7,11,1,1,"Н"
34.4,2,"М",62.6,21.4,11,1,1,"Н"
31,4,"С",114.8,74,25.6,0,0,"В"
35.6,4,"К",114.3,74.7,12,1,0,"В"
45,3,"П",86,48.7,14,1,1,"Н"
34.7,2,"П",62.6,21.4,11,1,1,"Н"
24.7,1,"П",45.3,20.6,10.4,1,1,"Н"
46,4,"М",90,62,8,1,0,"В"
34,3,"П",96.4,58,12.6,1,0,"В"
18.5,2,"К",48,28,8,0,0,"В"
15.9,1,"С",37,17.8,8.3,0,1,"Н"
52.3,4,"П",137.7,87.2,14.6,0,1,"Н"
30,3,"С",100,58,20,0,0,"В"
13.2,2,"С",44.1,30,6,0,0,"В"
13,1,"С",37,21.5,6.5,0,0,"В"
35,4,"К",116,81,16.5,1,1,"В"
29,3,"К",67.5,43.5,8.6,0,1,"Н"
15.4,1,"К",37,17.8,8.3,0,1,"Н"
34.1,2,"М",68.1,35.4,13,1,1,"Н"
37.7,2,"П",75.3,41.4,12.1,1,1,"Н"
34,3,"М",96.4,58,12.6,1,1,"В"
42.7,4,"М",107,75.5,9.5,0,1,"В"
15.6,1,"К",40,20,8.3,0,0,"Н"
24.4,1,"П",48.7,22.3,12.4,1,1,"Н"
32.6,3,"М",68,42.5,8.3,0,1,"Н"
25.8,2,"С",80,51,13,0,1,"В"
27,4,"К",93,66,10,0,0,"В"
16.5,1,"М",60,27,22.4,0,0,"В"
40.8,4,"М",91.6,55.2,9.4,0,1,"Н"
30.8,2,"М",59.2,31.9,11.2,1,1,"Н"
19.5,3,"С",79,50.3,9.1,1,0,"В"
75,4,"П",176,129,15,1,1,"В"
16,2,"К",50.1,31,6,0,0,"В"
21.3,1,"П",39.9,18,8.1,1,0,"Н"
53.9,3,"П",98,56,22,1,1,"Н"
38,4,"К",96,69.4,9,0,0,"В"
23,3,"С",69.7,42,10.8,0,1,"В"
17,2,"К",60,38,10,0,0,"В"
17,1,"М",60,30,15,0,0,"В"
21.5,1,"П",39,20,9.2,1,0,"Н"
26.4,2,"М",48.6,31,8,1,1,"Н"
24,3,"К",71,52,7.5,1,0,"В"
23.5,4,"С",92,72.5,9.5,0,0,"В"
15,1,"П",53,26.2,13,0,1,"В"
34,3,"М",68,41,8,1,1,"Н"
46.6,2,"П",93.2,49.5,14,1,1,"Н"
75,4,"П",130,88,12,1,1,"Н"
14.2,1,"С",35,19,9,0,0,"В"
10.5,1,"К",30.3,17.5,5.6,1,0,"В"
18,2,"К",50,30,8.7,1,0,"В"
51,4,"П",98,65.8,13,1,1,"Н"
28.6,3,"К",69,42.4,8.3,0,1,"Н"
24.2,2,"С",42,21,10.2,1,0,"Н"
23,1,"М",43,25.5,8.5,0,1,"В"
32.5,3,"М",98,51,15,0,1,"В"
65,4,"П",176,110,33,1,0,"В"
30.8,2,"М",56.4,29.7,9.4,1,1,"Н"
19,1,"П",38,19,7.4,1,1,"Н"
35.7,2,"П",62,35,11,1,0,"Н"
22,3,"С",62,37,10.2,1,1,"В"
23,4,"С",74,49,6.5,0,1,"В"
35.5,4,"К",106,73.7,9,0,1,"Н"
43,3,"П",100,45,35,1,1,"В"
12,1,"С",30,17.8,5.5,1,0,"В"
21,2,"С",54.6,32,10,1,1,"В"
40,4,"М",89,50.4,9.2,0,1,"Н"
35.2,3,"М",79.1,42.4,15.5,0,1,"Н"
34.2,2,"П",68.5,30.7,8.3,1,1,"Н"
15.6,1,"М",35,18,5.3,1,0,"В"
12.5,1,"С",32,17,6,1,0,"В"
34,4,"С",88,61.7,9,0,1,"В"
58.5,3,"П",117,55.2,25,1,1,"Н"
31.9,2,"М",60.2,36.3,10.9,1,1,"Н"
21.2,1,"П",40.8,19.2,10.1,1,1,"Н"
11.3,1,"К",31,18,5.5,1,0,"В"
14.5,2,"С",43,27,5.5,0,1,"В"
23,4,"С",74,45.8,9,0,0,"В"
34,3,"М",65.4,38.9,9.3,1,1,"Н"
36.7,2,"П",68.6,35.5,17,1,1,"Н"
35.6,2,"М",71.1,36.2,13.3,1,1,"Н"
19.8,1,"М",40.5,16,11,0,1,"Н"
43,4,"М",110,79.5,10,0,1,"В"
